county_state,population,positive_tests,deaths,latitude,longitude,deaths_per_100K,death_risk_index,cluster,hotspot
"Colbert County, Alabama",55241.0,1058.0,11.0,34.676666666666996,-87.817222222222,19.912745967668943,396.51745197291575,54.0,0.0
"Conecuh County, Alabama",12067.0,371.0,10.0,31.425555555556002,-86.993888888889,82.87063893262616,6867.542797101695,29.0,3.0
"Coosa County, Alabama",10663.0,96.0,2.0,32.936388888889,-86.246388888889,18.756447528838038,351.80432390205453,29.0,1.0
"Covington County, Alabama",37049.0,775.0,21.0,31.241944444443998,-86.4525,56.68169181354423,3212.8141868456064,29.0,1.0
"Crenshaw County, Alabama",13772.0,286.0,4.0,31.728055555556,-86.31,29.04443799012489,843.57937816221,29.0,1.0
"Cullman County, Alabama",83768.0,1131.0,11.0,34.133333333333,-86.866666666667,13.131506064368255,172.43645151854025,54.0,0.0
"Dale County, Alabama",49172.0,766.0,18.0,31.433333333333,-85.6,36.606198649638,1340.0137795767591,29.0,1.0
"Dallas County, Alabama",37196.0,1332.0,23.0,32.324722222222,-87.105277777778,61.834605871599095,3823.518483295997,29.0,1.0
"DeKalb County, Alabama",71513.0,1661.0,12.0,34.457222222222,-85.806666666667,16.780165843972423,281.57396575121874,33.0,1.0
"Elmore County, Alabama",81209.0,1604.0,35.0,32.596944444444,-86.151388888889,43.09867132953244,1857.4954703710619,29.0,1.0
"Escambia County, Alabama",36633.0,1011.0,15.0,31.126666666667,-87.162222222222,40.94668741298829,1676.6312100969735,29.0,1.0
"Etowah County, Alabama",102268.0,1908.0,19.0,34.05,-86.03333333333298,18.57863652364376,345.16573507766986,54.0,0.0
"Fayette County, Alabama",16302.0,171.0,5.0,33.72,-87.738611111111,30.67108330266225,940.7153509588471,54.0,0.0
"Franklin County, Alabama",31362.0,1174.0,20.0,34.433333333333,-87.85,63.77144314775843,4066.796961147786,54.0,0.0
"Geneva County, Alabama",26271.0,220.0,1.0,31.092222222222,-85.838333333333,3.8064786266225115,14.489279534934001,29.0,1.0
"Greene County, Alabama",8111.0,242.0,11.0,32.852222222222,-87.950833333333,135.61829614104303,18392.32224819965,83.0,3.0
"Hale County, Alabama",14651.0,455.0,25.0,32.760833333333004,-87.629722222222,170.63681659954952,29116.9231792283,54.0,3.0
"Henry County, Alabama",17205.0,245.0,4.0,31.512777777778002,-85.234444444444,23.249055507120023,540.5185819731479,29.0,1.0
"Houston County, Alabama",105882.0,1278.0,14.0,31.152222222222,-85.293333333333,13.222266296443209,174.828326014058,29.0,1.0
"Jackson County, Alabama",51626.0,759.0,5.0,34.783333333333005,-86.0,9.6850424204858,93.80004668660945,33.0,1.0
"Jefferson County, Alabama",658573.0,11382.0,225.0,33.583333333333,-86.866666666667,34.16477748100818,1167.2320203268036,54.0,0.0
"Lamar County, Alabama",13805.0,196.0,2.0,33.780555555556,-88.09638888888901,14.487504527345164,209.88778742984664,54.0,0.0
"Lauderdale County, Alabama",92729.0,1021.0,10.0,34.899166666667,-87.650277777778,10.78411284495681,116.29708985276248,54.0,0.0
"Lawrence County, Alabama",32924.0,300.0,0.0,34.521388888889,-87.310277777778,0.0,0.0,54.0,0.0
"Lee County, Alabama",164542.0,2565.0,43.0,32.601388888889,-85.35361111111101,26.133145336752925,682.9412851918512,29.0,1.0
"Limestone County, Alabama",98915.0,1167.0,12.0,34.811111111111,-86.98416666666702,12.131628165596725,147.17640194829974,54.0,0.0
"Lowndes County, Alabama",9726.0,558.0,26.0,32.15,-86.65,267.32469668928644,71462.49346001899,29.0,4.0
"Macon County, Alabama",18068.0,310.0,12.0,32.385277777778,-85.693611111111,66.41576267434138,4411.053531614438,29.0,1.0
"Madison County, Alabama",372909.0,4812.0,30.0,34.765833333333,-86.557777777778,8.044858128926897,64.71974231456117,54.0,0.0
"Marengo County, Alabama",18863.0,511.0,14.0,32.241944444444,-87.789444444444,74.2193712558978,5508.515069620788,83.0,0.0
"Marion County, Alabama",29709.0,552.0,24.0,34.136388888888995,-87.884166666667,80.7836009290114,6525.9901790577715,54.0,3.0
"Marshall County, Alabama",96774.0,2871.0,29.0,34.368055555556005,-86.303888888889,29.966726600119866,898.0047031263316,54.0,0.0
"Mobile County, Alabama",413210.0,8135.0,192.0,30.786388888888997,-88.213888888889,46.46547760218775,2159.040608799411,83.0,0.0
"Monroe County, Alabama",20733.0,432.0,4.0,31.570833333333002,-87.36972222222202,19.29291467708484,372.2165567372757,83.0,0.0
"Montgomery County, Alabama",226486.0,6139.0,144.0,32.219166666667,-86.209444444444,63.58008883551301,4042.427696331726,29.0,1.0
"Morgan County, Alabama",119679.0,2160.0,15.0,34.451666666667,-86.857222222222,12.533527185220464,157.0893037026604,54.0,0.0
"Perry County, Alabama",8923.0,440.0,3.0,32.635833333333004,-87.29194444444401,33.62097949120251,1130.37026194786,54.0,0.0
"Pickens County, Alabama",19930.0,361.0,10.0,33.278611111111005,-88.09305555555599,50.175614651279474,2517.5923056336915,54.0,0.0
"Pike County, Alabama",33114.0,652.0,7.0,31.799166666667,-85.93861111111099,21.13909524672344,446.8613478500455,29.0,1.0
"Randolph County, Alabama",22722.0,394.0,11.0,33.289166666667,-85.46027777777799,48.41123140568612,2343.6473262148897,94.0,0.0
"Russell County, Alabama",57961.0,1186.0,1.0,32.286666666666996,-85.19388888888899,1.7252980452373148,2.9766533448996997,29.0,1.0
"Shelby County, Alabama",217702.0,3061.0,32.0,33.265277777778,-86.667777777778,14.698992200347263,216.06037170586967,54.0,0.0
"Sumter County, Alabama",12427.0,365.0,17.0,32.591666666666995,-88.204166666667,136.79890560875512,18713.940575753095,83.0,3.0
"Talladega County, Alabama",79978.0,983.0,13.0,33.383333333333,-86.166666666667,16.25446997924429,264.2077943061539,54.0,0.0
"Tallapoosa County, Alabama",40367.0,845.0,79.0,32.861388888888996,-85.797222222222,195.7044120197191,38300.216883983965,29.0,3.0
"Tuscaloosa County, Alabama",209355.0,3873.0,63.0,33.206540000000004,-87.534607,30.092426739270618,905.5541470583693,54.0,0.0
"Walker County, Alabama",63521.0,1466.0,64.0,33.803611111111,-87.297777777778,100.75408132743502,10151.38490413539,54.0,3.0
"Washington County, Alabama",16326.0,306.0,10.0,31.409166666666998,-88.211388888889,61.25199068969742,3751.80636345078,83.0,0.0
"Wilcox County, Alabama",10373.0,410.0,9.0,31.985,-87.310833333333,86.76371348693723,7527.9419780433345,83.0,3.0
"Winston County, Alabama",23629.0,430.0,10.0,34.149166666667,-87.374722222222,42.32087688856913,1791.0566206174249,54.0,0.0
"Apache County, Arizona",71887.0,2994.0,130.0,35.423888888888996,-109.4425,180.83937290469765,32702.878792564297,84.0,3.0
"Cochise County, Arizona",125922.0,1503.0,48.0,31.880555555556,-109.75361111111,38.1188354695764,1453.045617556636,42.0,1.0
"Coconino County, Arizona",143476.0,2947.0,117.0,35.633333333333,-112.1,81.54673952438038,6649.870727057142,84.0,3.0
"Gila County, Arizona",54018.0,809.0,29.0,33.791111111111,-110.83638888889,53.68580843422563,2882.1660272363715,84.0,0.0
"Graham County, Arizona",38837.0,451.0,9.0,33.009166666667,-109.88527777778,23.173777583232486,537.0239674771285,84.0,0.0
"Greenlee County, Arizona",9498.0,55.0,2.0,33.101666666667,-109.26861111111,21.05706464518846,443.39997147164587,42.0,1.0
"La Paz County, Arizona",21108.0,469.0,10.0,33.840277777778,-113.94277777778,47.375402690922876,2244.4287801271025,12.0,1.0
"Maricopa County, Arizona",4485414.0,117293.0,2054.0,33.513888888889,-112.47583333333,45.79287441471401,2096.987347161769,84.0,2.0
"Mohave County, Arizona",212181.0,2965.0,149.0,35.681944444444,-113.86305555556001,70.22306427059915,4931.278755552699,12.0,1.0
"Navajo County, Arizona",110924.0,5202.0,187.0,35.497777777778,-110.28972222222,168.58389527965093,28420.529747660312,84.0,3.0
"Pima County, Arizona",1047279.0,16167.0,459.0,32.065277777778,-111.82083333333,43.8278624893653,1920.881530386714,84.0,3.0
"Pinal County, Arizona",462789.0,7990.0,136.0,32.986944444444,-111.32722222222,29.387042475080438,863.5982654321818,84.0,0.0
"Santa Cruz County, Arizona",46498.0,2599.0,50.0,31.533333333333,-110.83333333333,107.53150673147232,11563.024939940677,84.0,3.0
"Yavapai County, Arizona",235099.0,1768.0,60.0,34.561388888889,-112.54,25.52116342476999,651.3297825538175,84.0,0.0
"Yuma County, Arizona",213787.0,10896.0,255.0,32.786944444443996,-113.98277777778,119.27759873144765,14227.145559140243,12.0,3.0
"Arkansas County, Arkansas",17486.0,189.0,1.0,34.274166666667,-91.383888888889,5.718860802928057,32.705368883266935,74.0,0.0
"Ashley County, Arkansas",19657.0,230.0,4.0,33.208888888889,-91.795277777778,20.34898509436842,414.08119437082814,50.0,0.0
"Baxter County, Arkansas",41932.0,62.0,0.0,36.306944444444,-92.35472222222201,0.0,0.0,74.0,0.0
"Benton County, Arkansas",279141.0,4458.0,38.0,36.352222222222,-94.23416666666701,13.613191899434335,185.3189936908246,91.0,0.0
"Boone County, Arkansas",37432.0,157.0,1.0,36.306111111111,-93.09388888888901,2.6715110066253476,7.136971058520378,11.0,1.0
"Bradley County, Arkansas",10763.0,138.0,3.0,33.494166666667,-92.145,27.873269534516396,776.9191545437999,50.0,0.0
"Calhoun County, Arkansas",5189.0,12.0,0.0,33.570833333333,-92.523611111111,0.0,0.0,50.0,0.0
"Carroll County, Arkansas",28380.0,331.0,6.0,36.368055555556005,-93.496388888889,21.141649048625794,446.96932449525997,11.0,1.0
"Chicot County, Arkansas",10118.0,506.0,6.0,33.298055555556004,-91.275,59.30025696778019,3516.5204764447635,50.0,0.0
"Clark County, Arkansas",22320.0,152.0,0.0,34.088888888888995,-93.163888888889,0.0,0.0,71.0,0.0
"Clay County, Arkansas",14551.0,102.0,4.0,36.3775,-90.435277777778,27.48951962064463,755.673688973806,22.0,1.0
"Cleburne County, Arkansas",24919.0,178.0,5.0,35.535,-92.012777777778,20.065010634455636,402.6046517608178,74.0,0.0
"Cleveland County, Arkansas",7956.0,63.0,1.0,33.897222222222,-92.17,12.56913021618904,157.98303439151633,50.0,0.0
"Columbia County, Arkansas",23457.0,184.0,6.0,33.241111111111,-93.21833333333299,25.57871850620284,654.2708404195637,50.0,0.0
"Conway County, Arkansas",20846.0,134.0,3.0,35.266666666667,-92.7,14.391250119927085,207.10808001430132,74.0,0.0
"Craighead County, Arkansas",110332.0,1088.0,11.0,35.840277777778,-90.7075,9.969909001921472,99.3990855065948,74.0,0.0
"Crawford County, Arkansas",63257.0,514.0,3.0,35.566666666667,-94.25,4.7425581358584825,22.491857671997483,71.0,0.0
"Crittenden County, Arkansas",47955.0,1172.0,17.0,35.24,-90.3,35.449900948806174,1256.695477280169,74.0,0.0
"Cross County, Arkansas",16419.0,157.0,1.0,35.291666666667,-90.773333333333,6.090504902856447,37.09424997171841,74.0,0.0
"Dallas County, Arkansas",7009.0,56.0,0.0,33.976944444444,-92.67305555555599,0.0,0.0,50.0,0.0
"Desha County, Arkansas",11361.0,142.0,2.0,33.757777777778,-91.287222222222,17.604084147522226,309.90377867304335,50.0,0.0
"Drew County, Arkansas",18219.0,155.0,2.0,33.584444444443996,-91.730833333333,10.977550908392338,120.50662394634544,50.0,0.0
"Faulkner County, Arkansas",126007.0,1175.0,5.0,35.16,-92.31361111111099,3.968033521947193,15.745290031296646,74.0,0.0
"Franklin County, Arkansas",17715.0,104.0,2.0,35.520833333333,-93.87583333333299,11.289867344058708,127.46110464644322,71.0,0.0
"Fulton County, Arkansas",12477.0,27.0,0.0,36.388611111111004,-91.814444444444,0.0,0.0,74.0,0.0
"Garland County, Arkansas",99386.0,814.0,7.0,34.583611111111004,-93.1275,7.04324552753909,49.6073075611994,71.0,0.0
"Grant County, Arkansas",18265.0,124.0,0.0,34.294444444444,-92.431666666667,0.0,0.0,50.0,0.0
"Greene County, Arkansas",45325.0,293.0,1.0,36.105833333333,-90.56138888888901,2.2062879205736348,4.867706388469133,74.0,0.0
"Hempstead County, Arkansas",21532.0,200.0,2.0,33.743611111111,-93.663611111111,9.288500835965074,86.27624777972387,71.0,0.0
"Hot Spring County, Arkansas",33771.0,1436.0,8.0,34.318611111111004,-92.95388888888901,23.68896390394125,561.1670108422314,71.0,0.0
"Howard County, Arkansas",13202.0,291.0,2.0,34.136111111111,-93.987222222222,15.149219815179519,229.49886100862778,71.0,0.0
"Independence County, Arkansas",37825.0,331.0,0.0,35.723055555556,-91.52055555555599,0.0,0.0,74.0,0.0
"Izard County, Arkansas",13629.0,43.0,1.0,36.1,-91.9,7.337295472888694,53.83590485647292,74.0,0.0
"Jackson County, Arkansas",16719.0,57.0,1.0,35.593888888889,-91.193611111111,5.98121897242658,35.77498039611568,74.0,0.0
"Jefferson County, Arkansas",66824.0,1293.0,37.0,34.2875,-91.942222222222,55.36932838501138,3065.7625258072267,74.0,0.0
"Johnson County, Arkansas",26578.0,612.0,0.0,35.55,-93.46666666666701,0.0,0.0,71.0,0.0
"Lafayette County, Arkansas",6624.0,48.0,2.0,33.264166666667,-93.592777777778,30.19323671497585,911.6315433265656,50.0,0.0
"Lawrence County, Arkansas",16406.0,179.0,9.0,36.030555555556,-91.11305555555599,54.8579787882482,3009.397836731889,74.0,0.0
"Lee County, Arkansas",8857.0,882.0,6.0,34.775555555556004,-90.77472222222201,67.74302811335667,4589.117857967032,74.0,0.0
"Lincoln County, Arkansas",13024.0,1165.0,11.0,33.959722222222,-91.71861111111099,84.45945945945947,7133.400292184077,50.0,3.0
"Little River County, Arkansas",12259.0,149.0,1.0,33.698055555556,-94.221666666667,8.157272208173586,66.54108987824117,71.0,0.0
"Logan County, Arkansas",21466.0,139.0,0.0,35.224722222222,-93.74055555555599,0.0,0.0,71.0,0.0
"Lonoke County, Arkansas",73309.0,405.0,2.0,34.778055555556,-91.871666666667,2.7281779863318283,7.442955125105589,74.0,0.0
"Madison County, Arkansas",16576.0,253.0,1.0,36.027222222222,-93.695833333333,6.032818532818533,36.39489944991876,71.0,0.0
"Marion County, Arkansas",16694.0,23.0,0.0,36.279722222222,-92.715833333333,0.0,0.0,74.0,0.0
"Miller County, Arkansas",43257.0,451.0,4.0,33.327777777778,-93.877222222222,9.247058279584808,85.50808682603794,71.0,0.0
"Mississippi County, Arkansas",40651.0,677.0,9.0,35.776666666667,-90.054444444444,22.139676760719293,490.16528706913397,61.0,0.0
"Monroe County, Arkansas",6701.0,49.0,0.0,34.713333333333004,-91.222222222222,0.0,0.0,74.0,0.0
"Montgomery County, Arkansas",8986.0,25.0,0.0,34.535555555556,-93.664444444444,0.0,0.0,71.0,0.0
"Nevada County, Arkansas",8252.0,129.0,9.0,33.661111111111005,-93.300833333333,109.06446921958313,11895.058446149396,50.0,3.0
"Newton County, Arkansas",7753.0,91.0,3.0,35.935555555556,-93.221944444444,38.694698826260804,1497.2797172550293,71.0,0.0
"Ouachita County, Arkansas",23382.0,75.0,1.0,33.6,-92.916666666667,4.276794115131297,18.290967903221695,50.0,0.0
"Perry County, Arkansas",10455.0,49.0,0.0,34.960277777778,-92.935277777778,0.0,0.0,71.0,0.0
"Phillips County, Arkansas",17782.0,270.0,6.0,34.390277777778,-90.86972222222201,33.74198627825891,1138.5216380022127,7.0,1.0
"Pike County, Arkansas",10718.0,77.0,1.0,34.166666666667,-93.6575,9.33009889904833,87.05074546602287,71.0,0.0
"Poinsett County, Arkansas",23528.0,151.0,3.0,35.571388888889,-90.66,12.750765045902755,162.58200925581548,74.0,0.0
"Polk County, Arkansas",19964.0,125.0,1.0,34.501944444444,-94.240833333333,5.009016229212582,25.090243584515036,71.0,0.0
"Pope County, Arkansas",64072.0,1161.0,9.0,35.426388888889,-93.03194444444401,14.04669746535148,197.3097096831117,71.0,0.0
"Prairie County, Arkansas",8062.0,59.0,0.0,34.828055555556,-91.536666666667,0.0,0.0,74.0,0.0
"Pulaski County, Arkansas",391911.0,4733.0,77.0,34.742222222222,-92.285833333333,19.647317885948596,386.01710011151556,74.0,0.0
"Randolph County, Arkansas",17958.0,164.0,2.0,36.344722222221996,-91.012777777778,11.137097672346588,124.03494456338778,74.0,0.0
"Saline County, Arkansas",122437.0,855.0,4.0,34.651111111111,-92.681666666667,3.266986286825061,10.673199398303002,71.0,0.0
"Scott County, Arkansas",10281.0,41.0,0.0,34.880277777778,-94.070833333333,0.0,0.0,71.0,0.0
"Searcy County, Arkansas",7881.0,25.0,0.0,35.925555555556,-92.7,0.0,0.0,74.0,0.0
"Sebastian County, Arkansas",127827.0,1689.0,14.0,35.594166666667,-94.258055555556,10.952302721647227,119.95293490660126,71.0,0.0
"Sevier County, Arkansas",17007.0,929.0,10.0,34.0,-94.25,58.799317927912035,3457.3597887876776,71.0,0.0
"Sharp County, Arkansas",17442.0,99.0,5.0,36.155833333333,-91.505,28.666437335167988,821.7646294911132,74.0,0.0
"Stone County, Arkansas",12506.0,52.0,1.0,35.879444444444,-92.147222222222,7.996161842315688,63.93860420850542,74.0,0.0
"Union County, Arkansas",38682.0,428.0,16.0,33.187222222222,-92.59138888888901,41.362907812419216,1710.8901426986906,50.0,0.0
"Van Buren County, Arkansas",16545.0,50.0,2.0,35.600277777778004,-92.491111111111,12.088244182532486,146.1256474165305,74.0,0.0
"Washington County, Arkansas",239187.0,5896.0,45.0,36.0025,-94.22722222222201,18.813731515508785,353.9564935376485,71.0,0.0
"White County, Arkansas",78753.0,250.0,2.0,35.255833333333,-91.734722222222,2.539585793557071,6.449496002836898,74.0,0.0
"Woodruff County, Arkansas",6320.0,18.0,0.0,35.195,-91.22138888888901,0.0,0.0,74.0,0.0
"Yell County, Arkansas",21341.0,1004.0,14.0,34.998333333333,-93.4525,65.6014244880746,4303.546894864554,71.0,0.0
"Alameda County, California",1671329.0,11324.0,182.0,37.65,-121.91,10.889537607496788,118.58202930508686,13.0,1.0
"Alpine County, California",1129.0,2.0,0.0,38.58,-119.8,0.0,0.0,39.0,1.0
"Amador County, California",39752.0,120.0,0.0,38.44,-120.66,0.0,0.0,13.0,1.0
"Butte County, California",219186.0,941.0,7.0,39.66,-121.6,3.193634629948993,10.19930214960944,13.0,1.0
"Calaveras County, California",45905.0,125.0,1.0,38.21,-120.55,2.1784119376974185,4.745478570302621,13.0,1.0
"Colusa County, California",21547.0,323.0,4.0,39.18,-122.24,18.56406924397828,344.62466689522034,13.0,1.0
"Contra Costa County, California",1153526.0,7670.0,119.0,37.93,-121.95,10.316195733776265,106.42389441758361,13.0,1.0
"Del Norte County, California",27812.0,88.0,0.0,41.74,-123.96,0.0,0.0,65.0,0.0
"El Dorado County, California",192843.0,637.0,1.0,38.78,-120.53,0.5185565459985584,0.268900891397955,13.0,1.0
"Fresno County, California",999101.0,14793.0,138.0,36.75,-119.65,13.812417363209526,190.78287341549202,53.0,0.0
"Glenn County, California",28393.0,297.0,1.0,39.59,-122.39,3.521994857887507,12.404447778986041,13.0,1.0
"Humboldt County, California",135558.0,233.0,4.0,40.8,-123.8,2.9507664615883975,8.707022710834911,13.0,1.0
"Imperial County, California",181215.0,9366.0,209.0,33.04,-115.35,115.33261595342549,13301.612302660336,12.0,3.0
"Inyo County, California",18039.0,44.0,1.0,36.583333333333,-117.41666666667,5.543544542380398,30.730886093355497,53.0,0.0
"Kern County, California",900202.0,19552.0,140.0,35.34,-118.72,15.552064980970938,241.86672517234257,53.0,0.0
"Kings County, California",152940.0,4380.0,56.0,36.07,-119.81,36.61566627435595,1340.707016715008,53.0,0.0
"Lake County, California",64386.0,195.0,1.0,39.09,-122.76,1.5531326685925513,2.4122210862494198,13.0,1.0
"Lassen County, California",30573.0,594.0,0.0,40.65,-120.58,0.0,0.0,39.0,1.0
"Los Angeles County, California",10039107.0,188481.0,4621.0,34.05,-118.25,46.02999051608873,2118.7600269112186,53.0,2.0
"Madera County, California",157327.0,2007.0,30.0,37.22,-119.77,19.06856420067757,363.61014067536223,53.0,0.0
"Marin County, California",258826.0,4987.0,64.0,38.04,-122.74,24.7270366964679,611.42634378847,13.0,1.0
"Mariposa County, California",17203.0,54.0,2.0,37.58,-119.91,11.62587920711504,135.1610673384298,53.0,0.0
"Mendocino County, California",86749.0,312.0,9.0,39.43,-123.43,10.374759363220326,107.63563184472783,13.0,1.0
"Merced County, California",277680.0,4285.0,50.0,37.19,-120.71,18.00633823105733,324.2282164912369,53.0,0.0
"Modoc County, California",8841.0,2.0,0.0,41.6,-120.72,0.0,0.0,39.0,1.0
"Mono County, California",14444.0,141.0,1.0,37.916666666667,-118.86666666667,6.923289947382996,47.93194369553444,39.0,1.0
"Monterey County, California",434061.0,4542.0,26.0,36.24,-121.31,5.989941505917371,35.879399244311664,53.0,0.0
"Napa County, California",137744.0,889.0,8.0,38.5,-122.32,5.807875479149727,33.73141758130867,13.0,1.0
"Nevada County, California",99755.0,299.0,1.0,39.3,-120.77,1.0024560172422434,1.0049180665051811,13.0,1.0
"Orange County, California",3175692.0,36196.0,618.0,33.67,-117.78,19.460325497560845,378.70426847101675,12.0,3.0
"Placer County, California",398329.0,1876.0,15.0,39.06,-120.73,3.7657313426840626,14.180732545273113,13.0,1.0
"Plumas County, California",18807.0,25.0,0.0,40.01,-120.83,0.0,0.0,13.0,1.0
"Riverside County, California",2470546.0,37308.0,695.0,33.73,-115.98,28.13143329450251,791.3775392030444,12.0,3.0
"Sacramento County, California",1552058.0,9819.0,133.0,38.45,-121.35,8.569267385626052,73.43234352635434,13.0,1.0
"San Benito County, California",62808.0,622.0,4.0,36.61,-121.08,6.368615462998345,40.55926291554162,53.0,0.0
"San Bernardino County, California",2180085.0,32230.0,409.0,34.83,-116.19,18.760736393305766,351.9652300191074,12.0,3.0
"San Diego County, California",3338330.0,29111.0,561.0,33.02,-116.77,16.804809590423954,282.4016253704049,12.0,3.0
"San Francisco County, California",881549.0,6578.0,59.0,37.778333333333,-122.4425,6.692764667647515,44.793098896510955,13.0,1.0
"San Joaquin County, California",762148.0,11483.0,168.0,37.93,-121.27,22.042962784131166,485.8922083025916,13.0,1.0
"San Luis Obispo County, California",283111.0,1783.0,15.0,35.38,-120.45,5.298275234801898,28.07172046371511,53.0,0.0
"San Mateo County, California",766573.0,5469.0,119.0,37.44,-122.36,15.523635713754594,240.9832657733571,13.0,1.0
"Santa Barbara County, California",446499.0,6273.0,60.0,34.54,-120.03,13.437880040044881,180.5766199706366,53.0,0.0
"Santa Clara County, California",1927852.0,9913.0,192.0,37.36,-121.97,9.95927073240062,99.18707352125159,13.0,1.0
"Santa Cruz County, California",273213.0,1109.0,4.0,37.03,-122.01,1.4640591772719453,2.1434692745542057,13.0,1.0
"Shasta County, California",180080.0,369.0,9.0,40.76,-122.04,4.9977787649933365,24.97779258381832,13.0,1.0
"Sierra County, California",3005.0,1.0,0.0,39.59,-120.5,0.0,0.0,39.0,1.0
"Siskiyou County, California",43539.0,73.0,0.0,41.583333333333,-122.5,0.0,0.0,65.0,0.0
"Solano County, California",447643.0,3616.0,37.0,38.27,-121.94,8.26551515381677,68.31874075797465,13.0,1.0
"Sonoma County, California",494336.0,2944.0,36.0,38.51,-122.93,7.282496116002071,53.03474967958525,13.0,1.0
"Stanislaus County, California",550660.0,8890.0,104.0,37.56,-120.99,18.886427196455163,356.6971322470012,13.0,1.0
"Sutter County, California",96971.0,768.0,6.0,39.04,-121.69,6.1874168565859895,38.28412735716445,13.0,1.0
"Tehama County, California",65084.0,208.0,1.0,40.13,-122.23,1.5364759387867986,2.360758310470774,13.0,1.0
"Trinity County, California",12285.0,5.0,0.0,40.66,-123.12,0.0,0.0,13.0,1.0
"Tulare County, California",466195.0,9454.0,178.0,36.23,-118.8,38.18144767747402,1457.822946747686,53.0,0.0
"Tuolumne County, California",54478.0,141.0,2.0,38.02,-119.94,3.671206725650721,13.47775882246309,39.0,1.0
"Ventura County, California",846006.0,7344.0,76.0,34.36,-119.15,8.983387824672638,80.7012568084766,53.0,0.0
"Yolo County, California",220500.0,1511.0,41.0,38.553888888889,-121.73805555556001,18.594104308390023,345.7407150312884,13.0,1.0
"Yuba County, California",78668.0,471.0,4.0,39.27,-121.35,5.084659582040982,25.85376306524117,13.0,1.0
"Adams County, Colorado",517421.0,5957.0,171.0,39.87,-104.35,33.04852334945817,1092.204895579682,5.0,1.0
"Alamosa County, Colorado",16233.0,224.0,9.0,37.57,-105.78,55.44261689151728,3073.8837677795573,80.0,0.0
"Arapahoe County, Colorado",656590.0,6877.0,362.0,39.64,-104.33,55.13334044076212,3039.685228156976,5.0,1.0
"Archuleta County, Colorado",14029.0,32.0,0.0,37.19,-107.05,0.0,0.0,80.0,0.0
"Baca County, Colorado",3581.0,14.0,0.0,37.32,-102.56,0.0,0.0,68.0,0.0
"Bent County, Colorado",5577.0,5.0,0.0,37.95,-103.08,0.0,0.0,99.0,0.0
"Boulder County, Colorado",326196.0,1890.0,75.0,40.09,-105.36,22.99231137107751,528.6463821845801,5.0,1.0
"Broomfield County, Colorado",70465.0,398.0,32.0,39.933333333333,-105.05,45.41261619243596,2062.305709441497,5.0,1.0
"Chaffee County, Colorado",20356.0,286.0,19.0,38.74,-106.18,93.33857339359403,8712.08928315134,5.0,3.0
"Cheyenne County, Colorado",1831.0,8.0,0.0,38.82,-102.59,0.0,0.0,99.0,0.0
"Clear Creek County, Colorado",9700.0,26.0,1.0,39.69,-105.64,10.309278350515463,106.28122010840683,5.0,1.0
"Conejos County, Colorado",8205.0,23.0,0.0,37.21,-106.19,0.0,0.0,80.0,0.0
"Costilla County, Colorado",3887.0,22.0,0.0,37.28,-105.43,0.0,0.0,36.0,1.0
"Crowley County, Colorado",6061.0,72.0,1.0,38.33,-103.79,16.49892756970797,272.21461095046976,99.0,0.0
