,population,county_name,state_name,cumulative_confirmed,cumulative_deceased,latitude,longitude
"Talladega County, Alabama",79978.0,Talladega County,Alabama,983.0,13.0,33.383333333333,-86.166666666667
"Tallapoosa County, Alabama",40367.0,Tallapoosa County,Alabama,845.0,79.0,32.861388888888996,-85.797222222222
"Tuscaloosa County, Alabama",209355.0,Tuscaloosa County,Alabama,3873.0,63.0,33.206540000000004,-87.534607
"Walker County, Alabama",63521.0,Walker County,Alabama,1466.0,64.0,33.803611111111,-87.297777777778
"Washington County, Alabama",16326.0,Washington County,Alabama,306.0,10.0,31.409166666666998,-88.211388888889
"Wilcox County, Alabama",10373.0,Wilcox County,Alabama,410.0,9.0,31.985,-87.310833333333
"Winston County, Alabama",23629.0,Winston County,Alabama,430.0,10.0,34.149166666667,-87.374722222222
"Anchorage Municipality, Alaska",288000.0,Anchorage Municipality,Alaska,1779.0,11.0,61.218333333333,-149.89916666667
"Kenai Peninsula Borough, Alaska",58708.0,Kenai Peninsula Borough,Alaska,437.0,1.0,60.416666666667005,-151.25
"Apache County, Arizona",71887.0,Apache County,Arizona,2994.0,130.0,35.423888888888996,-109.4425
"Cochise County, Arizona",125922.0,Cochise County,Arizona,1503.0,48.0,31.880555555556,-109.75361111111
"Coconino County, Arizona",143476.0,Coconino County,Arizona,2947.0,117.0,35.633333333333,-112.1
"Gila County, Arizona",54018.0,Gila County,Arizona,809.0,29.0,33.791111111111,-110.83638888889
"Graham County, Arizona",38837.0,Graham County,Arizona,451.0,9.0,33.009166666667,-109.88527777778
"Greenlee County, Arizona",9498.0,Greenlee County,Arizona,55.0,2.0,33.101666666667,-109.26861111111
"La Paz County, Arizona",21108.0,La Paz County,Arizona,469.0,10.0,33.840277777778,-113.94277777778
"Maricopa County, Arizona",4485414.0,Maricopa County,Arizona,117293.0,2054.0,33.513888888889,-112.47583333333
"Mohave County, Arizona",212181.0,Mohave County,Arizona,2965.0,149.0,35.681944444444,-113.86305555556
"Navajo County, Arizona",110924.0,Navajo County,Arizona,5202.0,187.0,35.497777777778,-110.28972222222
"Pima County, Arizona",1047279.0,Pima County,Arizona,16167.0,459.0,32.065277777778,-111.82083333333
"Pinal County, Arizona",462789.0,Pinal County,Arizona,7990.0,136.0,32.986944444444,-111.32722222222
"Santa Cruz County, Arizona",46498.0,Santa Cruz County,Arizona,2599.0,50.0,31.533333333333,-110.83333333333
"Yavapai County, Arizona",235099.0,Yavapai County,Arizona,1768.0,60.0,34.561388888889,-112.54
"Yuma County, Arizona",213787.0,Yuma County,Arizona,10896.0,255.0,32.786944444443996,-113.98277777778
"Arkansas County, Arkansas",17486.0,Arkansas County,Arkansas,189.0,1.0,34.274166666667,-91.383888888889
"Ashley County, Arkansas",19657.0,Ashley County,Arkansas,230.0,4.0,33.208888888889,-91.795277777778
"Baxter County, Arkansas",41932.0,Baxter County,Arkansas,62.0,0.0,36.306944444444,-92.35472222222201
"Benton County, Arkansas",279141.0,Benton County,Arkansas,4458.0,38.0,36.352222222222,-94.23416666666701
"Boone County, Arkansas",37432.0,Boone County,Arkansas,157.0,1.0,36.306111111111,-93.09388888888901
"Bradley County, Arkansas",10763.0,Bradley County,Arkansas,138.0,3.0,33.494166666667,-92.145
"Calhoun County, Arkansas",5189.0,Calhoun County,Arkansas,12.0,0.0,33.570833333333,-92.523611111111
"Carroll County, Arkansas",28380.0,Carroll County,Arkansas,331.0,6.0,36.368055555556005,-93.496388888889
"Chicot County, Arkansas",10118.0,Chicot County,Arkansas,506.0,6.0,33.298055555556004,-91.275
"Clark County, Arkansas",22320.0,Clark County,Arkansas,152.0,0.0,34.088888888888995,-93.163888888889
"Clay County, Arkansas",14551.0,Clay County,Arkansas,102.0,4.0,36.3775,-90.435277777778
"Cleburne County, Arkansas",24919.0,Cleburne County,Arkansas,178.0,5.0,35.535,-92.012777777778
"Cleveland County, Arkansas",7956.0,Cleveland County,Arkansas,63.0,1.0,33.897222222222,-92.17
"Columbia County, Arkansas",23457.0,Columbia County,Arkansas,184.0,6.0,33.241111111111,-93.21833333333299
"Conway County, Arkansas",20846.0,Conway County,Arkansas,134.0,3.0,35.266666666667,-92.7
"Craighead County, Arkansas",110332.0,Craighead County,Arkansas,1088.0,11.0,35.840277777778,-90.7075
"Crawford County, Arkansas",63257.0,Crawford County,Arkansas,514.0,3.0,35.566666666667,-94.25
"Crittenden County, Arkansas",47955.0,Crittenden County,Arkansas,1172.0,17.0,35.24,-90.3
"Cross County, Arkansas",16419.0,Cross County,Arkansas,157.0,1.0,35.291666666667,-90.773333333333
"Dallas County, Arkansas",7009.0,Dallas County,Arkansas,56.0,0.0,33.976944444444,-92.67305555555599
"Desha County, Arkansas",11361.0,Desha County,Arkansas,142.0,2.0,33.757777777778,-91.287222222222
"Drew County, Arkansas",18219.0,Drew County,Arkansas,155.0,2.0,33.584444444443996,-91.730833333333
"Faulkner County, Arkansas",126007.0,Faulkner County,Arkansas,1175.0,5.0,35.16,-92.31361111111099
"Franklin County, Arkansas",17715.0,Franklin County,Arkansas,104.0,2.0,35.520833333333,-93.87583333333299
"Fulton County, Arkansas",12477.0,Fulton County,Arkansas,27.0,0.0,36.388611111111004,-91.814444444444
"Garland County, Arkansas",99386.0,Garland County,Arkansas,814.0,7.0,34.583611111111004,-93.1275
"Grant County, Arkansas",18265.0,Grant County,Arkansas,124.0,0.0,34.294444444444,-92.431666666667
"Greene County, Arkansas",45325.0,Greene County,Arkansas,293.0,1.0,36.105833333333,-90.56138888888901
"Hempstead County, Arkansas",21532.0,Hempstead County,Arkansas,200.0,2.0,33.743611111111,-93.663611111111
"Hot Spring County, Arkansas",33771.0,Hot Spring County,Arkansas,1436.0,8.0,34.318611111111004,-92.95388888888901
"Howard County, Arkansas",13202.0,Howard County,Arkansas,291.0,2.0,34.136111111111,-93.987222222222
"Independence County, Arkansas",37825.0,Independence County,Arkansas,331.0,0.0,35.723055555556,-91.52055555555599
"Izard County, Arkansas",13629.0,Izard County,Arkansas,43.0,1.0,36.1,-91.9
"Jackson County, Arkansas",16719.0,Jackson County,Arkansas,57.0,1.0,35.593888888889,-91.193611111111
"Jefferson County, Arkansas",66824.0,Jefferson County,Arkansas,1293.0,37.0,34.2875,-91.942222222222
"Johnson County, Arkansas",26578.0,Johnson County,Arkansas,612.0,0.0,35.55,-93.46666666666701
"Lafayette County, Arkansas",6624.0,Lafayette County,Arkansas,48.0,2.0,33.264166666667,-93.592777777778
"Lawrence County, Arkansas",16406.0,Lawrence County,Arkansas,179.0,9.0,36.030555555556,-91.11305555555599
"Lee County, Arkansas",8857.0,Lee County,Arkansas,882.0,6.0,34.775555555556004,-90.77472222222201
"Lincoln County, Arkansas",13024.0,Lincoln County,Arkansas,1165.0,11.0,33.959722222222,-91.71861111111099
"Little River County, Arkansas",12259.0,Little River County,Arkansas,149.0,1.0,33.698055555556,-94.221666666667
"Logan County, Arkansas",21466.0,Logan County,Arkansas,139.0,0.0,35.224722222222,-93.74055555555599
"Lonoke County, Arkansas",73309.0,Lonoke County,Arkansas,405.0,2.0,34.778055555556,-91.871666666667
"Madison County, Arkansas",16576.0,Madison County,Arkansas,253.0,1.0,36.027222222222,-93.695833333333
"Marion County, Arkansas",16694.0,Marion County,Arkansas,23.0,0.0,36.279722222222,-92.715833333333
"Miller County, Arkansas",43257.0,Miller County,Arkansas,451.0,4.0,33.327777777778,-93.877222222222
"Mississippi County, Arkansas",40651.0,Mississippi County,Arkansas,677.0,9.0,35.776666666667,-90.054444444444
"Monroe County, Arkansas",6701.0,Monroe County,Arkansas,49.0,0.0,34.713333333333004,-91.222222222222
"Montgomery County, Arkansas",8986.0,Montgomery County,Arkansas,25.0,0.0,34.535555555556,-93.664444444444
"Nevada County, Arkansas",8252.0,Nevada County,Arkansas,129.0,9.0,33.661111111111005,-93.300833333333
"Newton County, Arkansas",7753.0,Newton County,Arkansas,91.0,3.0,35.935555555556,-93.221944444444
"Ouachita County, Arkansas",23382.0,Ouachita County,Arkansas,75.0,1.0,33.6,-92.916666666667
"Perry County, Arkansas",10455.0,Perry County,Arkansas,49.0,0.0,34.960277777778,-92.935277777778
"Phillips County, Arkansas",17782.0,Phillips County,Arkansas,270.0,6.0,34.390277777778,-90.86972222222201
"Pike County, Arkansas",10718.0,Pike County,Arkansas,77.0,1.0,34.166666666667,-93.6575
"Poinsett County, Arkansas",23528.0,Poinsett County,Arkansas,151.0,3.0,35.571388888889,-90.66
"Polk County, Arkansas",19964.0,Polk County,Arkansas,125.0,1.0,34.501944444444,-94.240833333333
"Pope County, Arkansas",64072.0,Pope County,Arkansas,1161.0,9.0,35.426388888889,-93.03194444444401
"Prairie County, Arkansas",8062.0,Prairie County,Arkansas,59.0,0.0,34.828055555556,-91.536666666667
"Pulaski County, Arkansas",391911.0,Pulaski County,Arkansas,4733.0,77.0,34.742222222222,-92.285833333333
"Randolph County, Arkansas",17958.0,Randolph County,Arkansas,164.0,2.0,36.344722222221996,-91.012777777778
"Saline County, Arkansas",122437.0,Saline County,Arkansas,855.0,4.0,34.651111111111,-92.681666666667
"Scott County, Arkansas",10281.0,Scott County,Arkansas,41.0,0.0,34.880277777778,-94.070833333333
"Searcy County, Arkansas",7881.0,Searcy County,Arkansas,25.0,0.0,35.925555555556,-92.7
"Sebastian County, Arkansas",127827.0,Sebastian County,Arkansas,1689.0,14.0,35.594166666667,-94.258055555556
"Sevier County, Arkansas",17007.0,Sevier County,Arkansas,929.0,10.0,34.0,-94.25
"Sharp County, Arkansas",17442.0,Sharp County,Arkansas,99.0,5.0,36.155833333333,-91.505
"Stone County, Arkansas",12506.0,Stone County,Arkansas,52.0,1.0,35.879444444444,-92.147222222222
"Union County, Arkansas",38682.0,Union County,Arkansas,428.0,16.0,33.187222222222,-92.59138888888901
"Van Buren County, Arkansas",16545.0,Van Buren County,Arkansas,50.0,2.0,35.600277777778004,-92.491111111111
"Washington County, Arkansas",239187.0,Washington County,Arkansas,5896.0,45.0,36.0025,-94.22722222222201
"White County, Arkansas",78753.0,White County,Arkansas,250.0,2.0,35.255833333333,-91.734722222222
"Woodruff County, Arkansas",6320.0,Woodruff County,Arkansas,18.0,0.0,35.195,-91.22138888888901
"Yell County, Arkansas",21341.0,Yell County,Arkansas,1004.0,14.0,34.998333333333,-93.4525
"Alameda County, California",1671329.0,Alameda County,California,11324.0,182.0,37.65,-121.91
"Alpine County, California",1129.0,Alpine County,California,2.0,0.0,38.58,-119.8
"Amador County, California",39752.0,Amador County,California,120.0,0.0,38.44,-120.66
"Butte County, California",219186.0,Butte County,California,941.0,7.0,39.66,-121.6
"Calaveras County, California",45905.0,Calaveras County,California,125.0,1.0,38.21,-120.55
"Colusa County, California",21547.0,Colusa County,California,323.0,4.0,39.18,-122.24
"Contra Costa County, California",1153526.0,Contra Costa County,California,7670.0,119.0,37.93,-121.95
"Del Norte County, California",27812.0,Del Norte County,California,88.0,0.0,41.74,-123.96
"El Dorado County, California",192843.0,El Dorado County,California,637.0,1.0,38.78,-120.53
"Fresno County, California",999101.0,Fresno County,California,14793.0,138.0,36.75,-119.65
"Glenn County, California",28393.0,Glenn County,California,297.0,1.0,39.59,-122.39
"Humboldt County, California",135558.0,Humboldt County,California,233.0,4.0,40.8,-123.8
"Imperial County, California",181215.0,Imperial County,California,9366.0,209.0,33.04,-115.35
"Inyo County, California",18039.0,Inyo County,California,44.0,1.0,36.583333333333,-117.41666666667
"Kern County, California",900202.0,Kern County,California,19552.0,140.0,35.34,-118.72
"Kings County, California",152940.0,Kings County,California,4380.0,56.0,36.07,-119.81
"Lake County, California",64386.0,Lake County,California,195.0,1.0,39.09,-122.76
"Lassen County, California",30573.0,Lassen County,California,594.0,0.0,40.65,-120.58
"Los Angeles County, California",10039107.0,Los Angeles County,California,188481.0,4621.0,34.05,-118.25
"Madera County, California",157327.0,Madera County,California,2007.0,30.0,37.22,-119.77
"Marin County, California",258826.0,Marin County,California,4987.0,64.0,38.04,-122.74
"Mariposa County, California",17203.0,Mariposa County,California,54.0,2.0,37.58,-119.91
"Mendocino County, California",86749.0,Mendocino County,California,312.0,9.0,39.43,-123.43
"Merced County, California",277680.0,Merced County,California,4285.0,50.0,37.19,-120.71
"Modoc County, California",8841.0,Modoc County,California,2.0,0.0,41.6,-120.72
"Mono County, California",14444.0,Mono County,California,141.0,1.0,37.916666666667,-118.86666666667
"Monterey County, California",434061.0,Monterey County,California,4542.0,26.0,36.24,-121.31
"Napa County, California",137744.0,Napa County,California,889.0,8.0,38.5,-122.32
"Nevada County, California",99755.0,Nevada County,California,299.0,1.0,39.3,-120.77
"Orange County, California",3175692.0,Orange County,California,36196.0,618.0,33.67,-117.78
"Placer County, California",398329.0,Placer County,California,1876.0,15.0,39.06,-120.73
"Plumas County, California",18807.0,Plumas County,California,25.0,0.0,40.01,-120.83
"Riverside County, California",2470546.0,Riverside County,California,37308.0,695.0,33.73,-115.98
"Sacramento County, California",1552058.0,Sacramento County,California,9819.0,133.0,38.45,-121.35
"San Benito County, California",62808.0,San Benito County,California,622.0,4.0,36.61,-121.08
"San Bernardino County, California",2180085.0,San Bernardino County,California,32230.0,409.0,34.83,-116.19
"San Diego County, California",3338330.0,San Diego County,California,29111.0,561.0,33.02,-116.77
"San Francisco County, California",881549.0,San Francisco County,California,6578.0,59.0,37.778333333333,-122.4425
"San Joaquin County, California",762148.0,San Joaquin County,California,11483.0,168.0,37.93,-121.27
"San Luis Obispo County, California",283111.0,San Luis Obispo County,California,1783.0,15.0,35.38,-120.45
"San Mateo County, California",766573.0,San Mateo County,California,5469.0,119.0,37.44,-122.36
"Santa Barbara County, California",446499.0,Santa Barbara County,California,6273.0,60.0,34.54,-120.03
"Santa Clara County, California",1927852.0,Santa Clara County,California,9913.0,192.0,37.36,-121.97
"Santa Cruz County, California",273213.0,Santa Cruz County,California,1109.0,4.0,37.03,-122.01
"Shasta County, California",180080.0,Shasta County,California,369.0,9.0,40.76,-122.04
"Sierra County, California",3005.0,Sierra County,California,1.0,0.0,39.59,-120.5
"Siskiyou County, California",43539.0,Siskiyou County,California,73.0,0.0,41.583333333333,-122.5
"Solano County, California",447643.0,Solano County,California,3616.0,37.0,38.27,-121.94
"Sonoma County, California",494336.0,Sonoma County,California,2944.0,36.0,38.51,-122.93
"Stanislaus County, California",550660.0,Stanislaus County,California,8890.0,104.0,37.56,-120.99
"Sutter County, California",96971.0,Sutter County,California,768.0,6.0,39.04,-121.69
"Tehama County, California",65084.0,Tehama County,California,208.0,1.0,40.13,-122.23
"Trinity County, California",12285.0,Trinity County,California,5.0,0.0,40.66,-123.12
"Tulare County, California",466195.0,Tulare County,California,9454.0,178.0,36.23,-118.8
"Tuolumne County, California",54478.0,Tuolumne County,California,141.0,2.0,38.02,-119.94
"Ventura County, California",846006.0,Ventura County,California,7344.0,76.0,34.36,-119.15
"Yolo County, California",220500.0,Yolo County,California,1511.0,41.0,38.553888888889,-121.73805555556
"Yuba County, California",78668.0,Yuba County,California,471.0,4.0,39.27,-121.35
"Adams County, Colorado",517421.0,Adams County,Colorado,5957.0,171.0,39.87,-104.35
"Alamosa County, Colorado",16233.0,Alamosa County,Colorado,224.0,9.0,37.57,-105.78
"Arapahoe County, Colorado",656590.0,Arapahoe County,Colorado,6877.0,362.0,39.64,-104.33
"Archuleta County, Colorado",14029.0,Archuleta County,Colorado,32.0,0.0,37.19,-107.05
"Baca County, Colorado",3581.0,Baca County,Colorado,14.0,0.0,37.32,-102.56
"Bent County, Colorado",5577.0,Bent County,Colorado,5.0,0.0,37.95,-103.08
"Boulder County, Colorado",326196.0,Boulder County,Colorado,1890.0,75.0,40.09,-105.36
"Broomfield County, Colorado",70465.0,Broomfield County,Colorado,398.0,32.0,39.933333333333,-105.05
"Chaffee County, Colorado",20356.0,Chaffee County,Colorado,286.0,19.0,38.74,-106.18
"Cheyenne County, Colorado",1831.0,Cheyenne County,Colorado,8.0,0.0,38.82,-102.59
"Clear Creek County, Colorado",9700.0,Clear Creek County,Colorado,26.0,1.0,39.69,-105.64
"Conejos County, Colorado",8205.0,Conejos County,Colorado,23.0,0.0,37.21,-106.19
"Costilla County, Colorado",3887.0,Costilla County,Colorado,22.0,0.0,37.28,-105.43
"Crowley County, Colorado",6061.0,Crowley County,Colorado,72.0,1.0,38.33,-103.79
"Custer County, Colorado",5068.0,Custer County,Colorado,10.0,0.0,38.09,-105.36
"Delta County, Colorado",31162.0,Delta County,Colorado,104.0,1.0,38.86,-107.86
"Denver County, Colorado",727211.0,Denver County,Colorado,9623.0,412.0,39.739166666666996,-104.98472222222
"Dolores County, Colorado",2055.0,Dolores County,Colorado,1.0,0.0,37.75,-108.52
"Douglas County, Colorado",351154.0,Douglas County,Colorado,1616.0,58.0,39.35,-104.93
"Eagle County, Colorado",55127.0,Eagle County,Colorado,1026.0,9.0,39.62,-106.7
"Elbert County, Colorado",26729.0,Elbert County,Colorado,85.0,2.0,39.28,-104.13
"El Paso County, Colorado",720403.0,El Paso County,Colorado,4575.0,136.0,38.84,-104.52
"Fremont County, Colorado",47839.0,Fremont County,Colorado,102.0,0.0,38.48,-105.44
"Garfield County, Colorado",60061.0,Garfield County,Colorado,691.0,4.0,39.6,-107.9
"Gilpin County, Colorado",6243.0,Gilpin County,Colorado,13.0,0.0,39.86,-105.52
"Grand County, Colorado",15734.0,Grand County,Colorado,42.0,1.0,40.1,-106.12
"Gunnison County, Colorado",17462.0,Gunnison County,Colorado,246.0,6.0,38.67,-107.01
"Hinsdale County, Colorado",820.0,Hinsdale County,Colorado,3.0,0.0,37.82,-107.28
"Huerfano County, Colorado",6897.0,Huerfano County,Colorado,6.0,1.0,37.69,-104.96
"Jackson County, Colorado",1392.0,Jackson County,Colorado,8.0,0.0,40.66,-106.34
"Jefferson County, Colorado",582881.0,Jefferson County,Colorado,3874.0,227.0,39.59,-105.25
"Kit Carson County, Colorado",7097.0,Kit Carson County,Colorado,42.0,3.0,39.31,-102.6
"Lake County, Colorado",8127.0,Lake County,Colorado,70.0,0.0,39.19,-106.36
"La Plata County, Colorado",56221.0,La Plata County,Colorado,197.0,2.0,37.29,-107.85
"Larimer County, Colorado",356899.0,Larimer County,Colorado,1359.0,35.0,40.65,-105.46
"Las Animas County, Colorado",14506.0,Las Animas County,Colorado,15.0,0.0,37.32,-104.04
"Lincoln County, Colorado",5701.0,Lincoln County,Colorado,6.0,0.0,38.98,-103.52
"Logan County, Colorado",22409.0,Logan County,Colorado,647.0,5.0,40.73,-103.11
"Mesa County, Colorado",154210.0,Mesa County,Colorado,255.0,3.0,39.02,-108.47
"Mineral County, Colorado",769.0,Mineral County,Colorado,18.0,0.0,37.69,-106.93
"Moffat County, Colorado",13283.0,Moffat County,Colorado,24.0,1.0,40.61,-108.2
"Montezuma County, Colorado",26183.0,Montezuma County,Colorado,107.0,4.0,37.34,-108.6
"Montrose County, Colorado",42758.0,Montrose County,Colorado,274.0,13.0,38.41,-108.27
"Morgan County, Colorado",29068.0,Morgan County,Colorado,674.0,46.0,40.26,-103.81
"Otero County, Colorado",18278.0,Otero County,Colorado,52.0,5.0,37.9,-103.71
"Ouray County, Colorado",4952.0,Ouray County,Colorado,12.0,1.0,38.16,-107.77
"Park County, Colorado",18845.0,Park County,Colorado,42.0,1.0,39.12,-105.71
"Phillips County, Colorado",4265.0,Phillips County,Colorado,19.0,0.0,40.59,-102.35
"Pitkin County, Colorado",17767.0,Pitkin County,Colorado,166.0,2.0,39.22,-106.92
"Prowers County, Colorado",12172.0,Prowers County,Colorado,47.0,0.0,37.96,-102.4
"Pueblo County, Colorado",168424.0,Pueblo County,Colorado,597.0,34.0,38.15,-104.51
"Rio Blanco County, Colorado",6324.0,Rio Blanco County,Colorado,6.0,0.0,39.98,-108.2
"Rio Grande County, Colorado",11267.0,Rio Grande County,Colorado,87.0,2.0,37.61,-106.39
"Routt County, Colorado",25638.0,Routt County,Colorado,99.0,6.0,40.48,-106.99
"Saguache County, Colorado",6824.0,Saguache County,Colorado,107.0,2.0,38.08,-106.3
"San Juan County, Colorado",728.0,San Juan County,Colorado,2.0,0.0,37.77,-107.67
"San Miguel County, Colorado",8179.0,San Miguel County,Colorado,73.0,0.0,38.01,-108.43
"Sedgwick County, Colorado",2248.0,Sedgwick County,Colorado,11.0,1.0,40.88,-102.35
"Summit County, Colorado",31011.0,Summit County,Colorado,339.0,4.0,39.6356,-106.10235
"Teller County, Colorado",25388.0,Teller County,Colorado,110.0,3.0,38.88,-105.15
"Washington County, Colorado",4908.0,Washington County,Colorado,47.0,0.0,39.98,-103.2
"Weld County, Colorado",324492.0,Weld County,Colorado,3523.0,141.0,40.54,-104.4
"Yuma County, Colorado",10019.0,Yuma County,Colorado,62.0,0.0,40.0,-102.42
"Fairfield County, Connecticut",943332.0,Fairfield County,Connecticut,17793.0,1406.0,41.23,-73.37
"Hartford County, Connecticut",891720.0,Hartford County,Connecticut,12645.0,1412.0,41.81,-72.73
"Litchfield County, Connecticut",180333.0,Litchfield County,Connecticut,1597.0,138.0,41.79,-73.24
"Middlesex County, Connecticut",162436.0,Middlesex County,Connecticut,1377.0,191.0,41.44,-72.52
"New Haven County, Connecticut",854757.0,New Haven County,Connecticut,13041.0,1101.0,41.35,-72.9
"New London County, Connecticut",265206.0,New London County,Connecticut,1402.0,103.0,41.47,-72.1
"Tolland County, Connecticut",150721.0,Tolland County,Connecticut,1019.0,66.0,41.85,-72.33
"Windham County, Connecticut",116782.0,Windham County,Connecticut,693.0,15.0,41.83,-71.99
"Kent County, Delaware",180786.0,Kent County,Delaware,2167.0,107.0,39.1,-75.5
"New Castle County, Delaware",558753.0,New Castle County,Delaware,6794.0,287.0,39.58,-75.64
